mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2503.102578163147,117.26469171481317,3.816133419672648,0.2881929131810276,8,4,983,"{'max_depth': 8, 'min_samples_split': 4, 'n_estimators': 983}",-0.12286667667721662,-0.13188456133501264,-0.10769661744961463,-0.12081595182061462,0.009980589885001945,4
1855.4928118387859,6.3347476802409615,2.6570000648498535,0.04823505515740921,9,2,702,"{'max_depth': 9, 'min_samples_split': 2, 'n_estimators': 702}",-0.12135605312821457,-0.1302598900482443,-0.10727181027175532,-0.11962925114940472,0.009463943390858853,1
1815.6724580128987,5.565052240131697,2.932030280431112,0.018837312870711043,7,3,855,"{'max_depth': 7, 'min_samples_split': 3, 'n_estimators': 855}",-0.12543125522742693,-0.13353533707381857,-0.10855357700062054,-0.12250672310062201,0.010406304185740593,7
2075.415223916372,10.19940358690099,2.9927600224812827,0.02889616966486223,9,4,784,"{'max_depth': 9, 'min_samples_split': 4, 'n_estimators': 784}",-0.12134696945919023,-0.130300759928545,-0.10725174685899666,-0.11963315874891063,0.009487434188899703,2
1702.467088540395,6.1724307277578205,2.8299941221872964,0.035244975280093155,7,2,803,"{'max_depth': 7, 'min_samples_split': 2, 'n_estimators': 803}",-0.12539607502926262,-0.13352958499373105,-0.10854732610101728,-0.1224909953746703,0.010403779143346217,6
2297.4772551854453,5.226459556706631,3.580719232559204,0.023519086572182824,8,4,962,"{'max_depth': 8, 'min_samples_split': 4, 'n_estimators': 962}",-0.1228973891168432,-0.13187377740613493,-0.10769527305970315,-0.12082214652756045,0.009979311665002582,5
2162.4222087065377,52.39862974938164,3.362951119740804,0.09727874080562351,8,3,871,"{'max_depth': 8, 'min_samples_split': 3, 'n_estimators': 871}",-0.12288494628160503,-0.13189569456349393,-0.10766398596864324,-0.12081487560458072,0.010000260657014464,3
2080.025607983271,61.007238496430105,3.425353765487671,0.1667196336494858,7,2,854,"{'max_depth': 7, 'min_samples_split': 2, 'n_estimators': 854}",-0.12543816286708898,-0.13353514779824935,-0.10856126128265815,-0.1225115239826655,0.010403450174285822,8
