folds,params_used,pinball_loss_10,pinball_loss_30,pinball_loss_50,pinball_loss_70,pinball_loss_90,mape,mse,mae,rmse,r2,adjusted_r2
0,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 500, 'reg_alpha': 0.5}",0.02523581779081152,0.05822890430102107,0.07618640518793529,0.07768575242927107,0.05159131283855669,1328993586337.7239,0.11359105885484201,0.15237281037587058,0.3370327266822052,0.6364888458806569,0.6364874164170958
1,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 500, 'reg_alpha': 0.5}",0.025186005548622232,0.05806704952251969,0.07588399034314922,0.077136203806828,0.051014694518666776,1302121541978.7473,0.11195867198123398,0.15176798068629843,0.33460225937855526,0.642250047201558,0.6422486403932229
2,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 500, 'reg_alpha': 0.5}",0.025335899878765007,0.05849783555710917,0.07638615388205212,0.07773190831805452,0.05117458989433888,1270234697459.4465,0.11287815787979993,0.15277230776410425,0.33597344817678665,0.6391768918089155,0.6391754729101896
0,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 500, 'reg_alpha': 0.7}",0.025242945744379686,0.0582730315298611,0.07621299769831362,0.07768969797474178,0.05165776558747783,1343677570413.6858,0.11365433470735332,0.15242599539662724,0.3371265855837438,0.6362863521420989,0.6362849218822557
1,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 500, 'reg_alpha': 0.7}",0.025209619507684827,0.0581705085200829,0.07588492121314112,0.07712858439887253,0.050891231212079946,1304992889499.5564,0.11185269992754411,0.15176984242628225,0.33444386663167275,0.6425886676633286,0.6425872621865774
2,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 500, 'reg_alpha': 0.7}",0.025366244096961976,0.0585295051596853,0.07641458230395196,0.07770038467292428,0.05111379308768601,1270396938327.701,0.1129262509898901,0.1528291646079039,0.3360450133388236,0.6390231587414092,0.6390217392381443
0,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.5}",0.024852184006203478,0.057568817759443,0.07566712812466676,0.07721455063763662,0.0512156751033441,947415413277.9929,0.1115270090540125,0.15133425624933353,0.3339565975602406,0.6430941644050502,0.6430927609161037
1,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.5}",0.024816475374063923,0.05745921097565342,0.07538348385331037,0.07663593697295067,0.05063834491310856,932483499951.413,0.11029180028152129,0.15076696770662074,0.33210209316040346,0.6475763275275093,0.6475749416641261
2,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.5}",0.02498104127797884,0.05786039090039964,0.07585865592003094,0.0772675680019711,0.050919273045816754,892608667032.7341,0.11118900779277566,0.15171731184006187,0.3334501578838667,0.6445763809222155,0.6445749832564097
0,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.7}",0.024861702963190367,0.05766900709985171,0.0757050139859591,0.0772386210129066,0.05126292539981679,946347166556.5315,0.11175477678368811,0.1514100279719182,0.33429743759665304,0.6423652680366192,0.642363861681376
1,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.7}",0.02481010732661732,0.05746452560834683,0.07535275923015913,0.07662912239808248,0.050524199341265105,929547697622.1935,0.10981327233330927,0.15070551846031827,0.3313808569204161,0.6491054038183952,0.6491040239679193
2,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.7}",0.024982436075452596,0.057857703630540026,0.07588463534226757,0.07722089370087866,0.05083447231355302,899866691417.4419,0.11115217828573301,0.15176927068453513,0.33339492840433704,0.6446941090766599,0.6446927118738077
0,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 1000, 'reg_alpha': 0.5}",0.024702490436644502,0.05722118241123675,0.07523013393005239,0.0770586321138141,0.0511455590563828,883272797325.3624,0.11014693501621238,0.15046026786010477,0.3318839179837016,0.6475106414703089,0.6475092553486232
1,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 1000, 'reg_alpha': 0.5}",0.0246219040845867,0.0571501824869395,0.07485245350281856,0.07642023119713252,0.05058422348877029,875022895223.4324,0.10801587823629895,0.14970490700563713,0.32865769158244107,0.6548487521628041,0.6548473948973496
2,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 1000, 'reg_alpha': 0.5}",0.02481734236019805,0.057499467103949965,0.07539713457099667,0.07702227095940603,0.05085327275188709,837585635202.2134,0.10966109572536993,0.15079426914199334,0.3311511674830242,0.6494604611690873,0.6494590827094107
0,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 1000, 'reg_alpha': 0.7}",0.024691974795945173,0.05744266802728439,0.07527342096773113,0.07708810972625674,0.05116388797101873,886564967660.6252,0.11012042723725858,0.15054684193546225,0.33184398026370554,0.6475954709755338,0.64759408518743
1,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 1000, 'reg_alpha': 0.7}",0.024599847175741242,0.05707170630753011,0.07482996923355431,0.0763396143235239,0.05046778688070855,867023664924.3583,0.10771323476427287,0.14965993846710862,0.32819694508674646,0.6558158115778197,0.655814458115209
2,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 1000, 'reg_alpha': 0.7}",0.024831117701767207,0.05751211370436964,0.07539738816916376,0.07693109673047735,0.05076910363949004,845644959425.5381,0.10960898277631656,0.15079477633832752,0.3310724736010479,0.6496270439394622,0.6496256661348548
0,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500, 'reg_alpha': 0.5}",0.024870252332207507,0.057381990638072075,0.07503753678055,0.07665336020251294,0.05098106052804825,1303584894712.2153,0.11071400327663382,0.1500750735611,0.33273713840903574,0.6456959243623923,0.6456945311045517
1,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500, 'reg_alpha': 0.5}",0.024782864247097167,0.05720585689968276,0.07482284159489698,0.07606024051965361,0.05031865374028102,1269745616754.8381,0.10953248930125518,0.14964568318979396,0.330956929677043,0.6500026109278256,0.650001234605508
2,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500, 'reg_alpha': 0.5}",0.024965094501753615,0.05761778045979866,0.0752504259020483,0.07663091579539837,0.05063337076509941,1223559368045.522,0.11017250850972758,0.1505008518040966,0.33192244351614364,0.6478256936118678,0.6478243087236406
0,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500, 'reg_alpha': 0.7}",0.024885687038443575,0.057403800414224326,0.07505263906909543,0.07661617011484793,0.050968191942759915,1302732845611.7988,0.11089961788494028,0.15010527813819086,0.33301594238855936,0.6451019253173345,0.6451005297236645
1,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500, 'reg_alpha': 0.7}",0.024775924026552796,0.05725552054823531,0.07481487690268532,0.0760467485416023,0.05035456579804158,1264290558209.8296,0.10948292651301697,0.14962975380537064,0.33088204320122444,0.650160982627302,0.6501596069277618
2,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 500, 'reg_alpha': 0.7}",0.024982988157578698,0.057645410342597826,0.07523884375387511,0.07664238818583272,0.05063561747772155,1237733001654.309,0.11001680595117048,0.15047768750775023,0.33168781399257113,0.6483234079809462,0.6483220250499282
0,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 750, 'reg_alpha': 0.5}",0.024542632196471285,0.056894284018224085,0.07460673261293795,0.07627033977567452,0.050781445130384156,946211183423.9895,0.10962605122247361,0.1492134652258759,0.3310982501048195,0.6491775602483618,0.6491761806816323
1,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 750, 'reg_alpha': 0.5}",0.024466359592546796,0.05668902044913996,0.07436465668088778,0.0756345366291503,0.05013441710866561,934245508849.041,0.10822471781418747,0.14872931336177556,0.3289752541061219,0.6541814313754998,0.654180071485887
2,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 750, 'reg_alpha': 0.5}",0.02464082659896616,0.05696261837422757,0.07477940005307883,0.07620980285953989,0.05040090362341456,911987481127.5643,0.10900973001719638,0.14955880010615766,0.3301662157417024,0.651542598261035,0.6515412279891424
0,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 750, 'reg_alpha': 0.7}",0.02455115856654692,0.05691833213194428,0.07459291173050824,0.07622400721485074,0.05076548928447735,942306233806.7046,0.10954593209360851,0.14918582346101647,0.330977238029458,0.6494339554021212,0.6494325768436345
1,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 750, 'reg_alpha': 0.7}",0.02446571120266082,0.05677279420630074,0.07433625721925138,0.07564503445290019,0.05013068683579068,935377600724.887,0.10791555751858803,0.14867251443850277,0.328505034236293,0.6551693144862998,0.6551679584814176
2,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 750, 'reg_alpha': 0.7}",0.024657806494434026,0.056987514079636974,0.07476400906873162,0.0761951888429308,0.050453630999475335,903841588030.3513,0.10886780656702272,0.14952801813746325,0.3299512184657343,0.6519962667242588,0.6519948982363695
0,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 1000, 'reg_alpha': 0.5}",0.024473318401702866,0.056668297996314884,0.07430062410697726,0.0761449697277505,0.05074214428055073,884969989613.6012,0.10861717290346376,0.1486012482139545,0.3295711955002496,0.652406146422366,0.6524047795516604
1,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 1000, 'reg_alpha': 0.5}",0.024343451837763673,0.05632745238604538,0.07381497022202181,0.0754345142655685,0.050089729128837586,882369017427.9918,0.10565473284225274,0.14762994044404362,0.32504573961560046,0.6623934973649612,0.6623921697683028
2,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 1000, 'reg_alpha': 0.5}",0.024522192372961316,0.056587975407045125,0.07442050217645091,0.07608894298623733,0.05032321067577371,861013510018.1383,0.10783184302806266,0.14884100435290182,0.32837759215278783,0.6553077983006179,0.6553064428349764
0,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 1000, 'reg_alpha': 0.7}",0.024486643785233624,0.05670003511230833,0.07425458998211176,0.0761355997172808,0.05073999990195019,899383945752.7758,0.10838170398149521,0.14850917996422353,0.3292137663912237,0.6531596879462056,0.6531583240387107
1,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 1000, 'reg_alpha': 0.7}",0.024364095153641206,0.056544390335519716,0.07395020499484134,0.07553881946798076,0.05009328612948694,872605035209.8099,0.10620565430862715,0.14790040998968268,0.3258920899755426,0.6606330966286598,0.6606317621094389
2,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 1000, 'reg_alpha': 0.7}",0.024569456373687768,0.056623339349190664,0.07439810555604641,0.07607414606369903,0.050415004750052284,858792422993.1144,0.10783522106828858,0.14879621111209282,0.32838273564286014,0.655297000153334,0.6552956446452299
0,"{'learning_rate': 0.001, 'max_depth': 8, 'n_estimators': 500, 'reg_alpha': 0.5}",0.08586827218041106,0.11420900703528186,0.1285488145184396,0.12798866973427625,0.09608897632481085,9867319038474.467,0.22433064662740732,0.2570976290368792,0.4736355630940389,0.28210289540415456,0.28210007236078993
1,"{'learning_rate': 0.001, 'max_depth': 8, 'n_estimators': 500, 'reg_alpha': 0.5}",0.08564946591576011,0.11396517875301042,0.12826071318735566,0.12772040224696368,0.0961221739463542,10049766500811.867,0.22446354140191957,0.2565214263747113,0.47377583454828043,0.2827547887048205,0.2827519682249473
2,"{'learning_rate': 0.001, 'max_depth': 8, 'n_estimators': 500, 'reg_alpha': 0.5}",0.08558274163531383,0.11418782831856636,0.1288247735698944,0.1286368761076047,0.09678281711524798,9857865298142.85,0.2243924070915561,0.2576495471397888,0.47370075690414104,0.28271361526405925,0.2827107946111844
0,"{'learning_rate': 0.001, 'max_depth': 8, 'n_estimators': 500, 'reg_alpha': 0.7}",0.08585098614629323,0.11420486901642463,0.12855583420509623,0.12794860390643323,0.0961785538650109,9867995093098.098,0.22437141235747496,0.25711166841019245,0.47367859605166346,0.2819724379743638,0.28196961441799107
1,"{'learning_rate': 0.001, 'max_depth': 8, 'n_estimators': 500, 'reg_alpha': 0.7}",0.08559248498437763,0.11394662952376482,0.1282653080174884,0.12772240124738068,0.09614325424736138,10050724608421.904,0.22454167494339283,0.2565306160349768,0.4738582857177796,0.2825051227318378,0.2825023012701834
2,"{'learning_rate': 0.001, 'max_depth': 8, 'n_estimators': 500, 'reg_alpha': 0.7}",0.08553829804398201,0.11418831873046718,0.12882693536680054,0.12859395752732747,0.09678025054586284,9859207481756.367,0.2243860440113908,0.2576538707336011,0.4736940405065181,0.2827339553050914,0.2827311347322017
0,"{'learning_rate': 0.001, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.5}",0.06622291721374865,0.09919990959325665,0.1147366380902563,0.11294482953924119,0.07822567139698469,8327180340025.404,0.19712904675796522,0.2294732761805126,0.4439921697034366,0.369152748289754,0.3691502675593865
1,"{'learning_rate': 0.001, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.5}",0.06600603594357018,0.09892782430162972,0.11439457387047042,0.11269411505308591,0.07815351734367068,8465107047669.863,0.196818147825804,0.22878914774094083,0.4436419139641835,0.3710921909974042,0.3710897178936602
2,"{'learning_rate': 0.001, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.5}",0.0660578380944593,0.0992236160547189,0.1150184753532371,0.11341336796437336,0.07865181423478,8310875759287.19,0.19689526344071284,0.2300369507064742,0.4437288174557889,0.3706102023880198,0.37060772737918124
0,"{'learning_rate': 0.001, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.7}",0.06620819526009321,0.0991862181011808,0.11475534983493627,0.11285742029302054,0.07826422495564496,8328458232386.074,0.19727592265462607,0.22951069966987253,0.44415754260692913,0.3686827198628183,0.36868023728412114
1,"{'learning_rate': 0.001, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.7}",0.06595606235071479,0.09894819386115802,0.11440668403312731,0.11270178619460842,0.07814025517726857,8465444473036.273,0.19690066664536457,0.22881336806625463,0.4437349058225694,0.3708285124160102,0.3708260382753821
2,"{'learning_rate': 0.001, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.7}",0.0660182007171038,0.09922293494209593,0.11502782597800189,0.11338817306492407,0.07859050549084302,8311684393653.161,0.19693326734232558,0.23005565195600378,0.44377163873137,0.3704887201973033,0.370486244710749
0,"{'learning_rate': 0.001, 'max_depth': 8, 'n_estimators': 1000, 'reg_alpha': 0.5}",0.05245621974613725,0.08797727817463691,0.10455468769372578,0.10262766920377647,0.06832896564229819,7127908411944.015,0.17763656743870035,0.20910937538745156,0.42146953322713654,0.43153207396404203,0.43152983853281324
