mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
22.922190189361572,0.4768718120341155,0.3936818440755208,0.02562460319204305,0.001,6,500,0.5,"{'learning_rate': 0.001, 'max_depth': 6, 'n_estimators': 500, 'reg_alpha': 0.5}",-0.183812428686559,-0.18013836118602697,-0.18272550833197615,-0.18222543273485403,0.0015410493614729337,70
22.333537658055622,0.4663560237302835,0.3768198490142822,0.00747012124374872,0.001,6,500,0.7,"{'learning_rate': 0.001, 'max_depth': 6, 'n_estimators': 500, 'reg_alpha': 0.7}",-0.18382227771162926,-0.18014712502621114,-0.1827340845489942,-0.1822344957622782,0.001541401641827613,71
23.772679408391316,1.404539293824409,0.37806542714436847,0.01618884823632109,0.001,6,500,0.9,"{'learning_rate': 0.001, 'max_depth': 6, 'n_estimators': 500, 'reg_alpha': 0.9}",-0.1838349256432133,-0.1801569485485393,-0.18274624111131732,-0.18224603843435663,0.0015426235046754175,72
38.44687787691752,0.7730480698713436,0.6247908274332682,0.015482175665182311,0.001,6,750,0.5,"{'learning_rate': 0.001, 'max_depth': 6, 'n_estimators': 750, 'reg_alpha': 0.5}",-0.15516551966649214,-0.15194937209422155,-0.15444302112902988,-0.15385263762991452,0.001377755616616213,58
39.14155459403992,0.8800845506794304,0.627586285273234,0.016812184053214874,0.001,6,750,0.7,"{'learning_rate': 0.001, 'max_depth': 6, 'n_estimators': 750, 'reg_alpha': 0.7}",-0.1551770074656988,-0.15195759147067342,-0.1544508834414549,-0.1538618274592757,0.001378743401280584,59
40.9005541006724,1.2432068955687918,0.6303813457489014,0.010533840438621449,0.001,6,750,0.9,"{'learning_rate': 0.001, 'max_depth': 6, 'n_estimators': 750, 'reg_alpha': 0.9}",-0.15518643213011674,-0.15196880393087217,-0.1544633015824232,-0.15387284588113737,0.0013783471402442269,60
53.40324338277181,0.9978353560032933,0.8315408229827881,0.02167450939831094,0.001,6,1000,0.5,"{'learning_rate': 0.001, 'max_depth': 6, 'n_estimators': 1000, 'reg_alpha': 0.5}",-0.137143206260289,-0.13421536675374124,-0.13682625073652263,-0.13606160791685096,0.001311886688522056,46
52.45890323321024,0.18949665310434277,0.8267286618550619,0.01870683067737483,0.001,6,1000,0.7,"{'learning_rate': 0.001, 'max_depth': 6, 'n_estimators': 1000, 'reg_alpha': 0.7}",-0.13715629205875698,-0.1342200387562133,-0.13683714490697607,-0.1360711585739821,0.0013154079623003696,47
53.1511070728302,0.803191978956354,0.8344035943349203,0.01219887722101133,0.001,6,1000,0.9,"{'learning_rate': 0.001, 'max_depth': 6, 'n_estimators': 1000, 'reg_alpha': 0.9}",-0.13716575700044412,-0.13423018214660323,-0.13684859484484657,-0.13608151133063132,0.0013154752674632746,48
33.397412856419884,0.4602678805402826,0.5293645064036051,0.011322477604573587,0.001,7,500,0.5,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 500, 'reg_alpha': 0.5}",-0.18175988709309732,-0.17824279550547933,-0.18056787356036672,-0.18019018538631446,0.0014604724296239423,67
33.01053738594055,0.33831477814244404,0.5318479537963867,0.0071687760873646944,0.001,7,500,0.7,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 500, 'reg_alpha': 0.7}",-0.1817756093319877,-0.17826046550419494,-0.18058997464869775,-0.18020868316162678,0.0014601589938774819,68
33.218422730763756,0.3683005865684553,0.5332674185434977,0.003906856817855114,0.001,7,500,0.9,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 500, 'reg_alpha': 0.9}",-0.18179142095783743,-0.17827538962595105,-0.18061487423970007,-0.1802272282744962,0.0014613512303015598,69
48.934993505477905,0.2071309186215085,0.8096381823221842,0.05449678855284073,0.001,7,750,0.5,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 750, 'reg_alpha': 0.5}",-0.15288271309012416,-0.14971527514624,-0.15206768672147306,-0.15155522498594576,0.0013429143817022316,55
48.26888060569763,0.48294122975203274,0.7640392780303955,0.0072906700443552035,0.001,7,750,0.7,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 750, 'reg_alpha': 0.7}",-0.15290173266562138,-0.14973470574205794,-0.15209187284236347,-0.15157610375001426,0.0013433858222444187,56
49.422153313954674,0.45791639223790265,0.7873718738555908,0.008523528552312629,0.001,7,750,0.9,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 750, 'reg_alpha': 0.9}",-0.15292285228688968,-0.1497552373196327,-0.15211030345524748,-0.15159613102058997,0.0013433108636546375,57
64.52186218897502,0.13654495610727788,1.04111909866333,0.005980070535061264,0.001,7,1000,0.5,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 1000, 'reg_alpha': 0.5}",-0.13465681457710513,-0.13181683282590248,-0.13424985295294473,-0.13357450011865077,0.0012539139191301942,43
64.17001016934712,0.34629072042429493,1.0117329756418865,0.013757384086179731,0.001,7,1000,0.7,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 1000, 'reg_alpha': 0.7}",-0.13467519956307536,-0.13183261093685578,-0.1342711524330535,-0.1335929876443282,0.001255656039680277,44
64.20822350184123,0.511909372221826,1.0448360443115234,0.024115223110220706,0.001,7,1000,0.9,"{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 1000, 'reg_alpha': 0.9}",-0.1346940153747534,-0.13184973434092356,-0.13428545147518497,-0.1336097337302873,0.0012556351654118359,45
