folds,params_used,pinball_loss_10,pinball_loss_30,pinball_loss_50,pinball_loss_70,pinball_loss_90,mape,mse,mae,rmse,r2,adjusted_r2
0,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 500, 'reg_alpha': 0.5}",0.026469615889351174,0.06061353535621429,0.07975178753800362,0.08142215545263273,0.05398006717789582,1360651526777.8054,0.12383943451235054,0.15950357507600724,0.35190827570881383,0.6036922604744922,0.6036907020423334
1,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 500, 'reg_alpha': 0.5}",0.026381692376522964,0.06050208926035313,0.07950296414506638,0.08108909968140135,0.0533474586835284,1419502232772.2441,0.12301283483400348,0.15900592829013277,0.3507318560296505,0.606927850458572,0.6069263047499788
2,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 500, 'reg_alpha': 0.5}",0.026591526441646834,0.06091979595298042,0.07995731914244018,0.0814978617924192,0.05382722062915861,1305856204293.1787,0.12295167316643098,0.15991463828488037,0.3506446536972024,0.6069761794266038,0.6069746339019808
0,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 500, 'reg_alpha': 0.7}",0.02646373307356222,0.060610467065363334,0.07967739646333735,0.0814318325716009,0.05397732314815245,1371136678012.2527,0.12361253998699963,0.1593547929266747,0.3515857505460078,0.6044183624371393,0.6044168068602886
1,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 500, 'reg_alpha': 0.7}",0.026388745677200783,0.06046318474576495,0.07951203222935893,0.08106582169635428,0.05335662936135344,1426522479342.2588,0.12307898565226963,0.15902406445871786,0.3508261473326491,0.6067164737809685,0.606714927241162
2,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 500, 'reg_alpha': 0.7}",0.026579675341373704,0.060915015846325665,0.07992804842522834,0.08150893314907222,0.05376927872859463,1308985702281.628,0.12292952199967344,0.15985609685045668,0.3506130659283442,0.607046987216079,0.6070454419699002
0,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.5}",0.025598193646961014,0.05948788654257125,0.0789002788053036,0.08071247256042768,0.05335823653879289,1087061247572.75,0.12030888039393021,0.1578005576106072,0.34685570543661265,0.614990647999058,0.6149891339964391
1,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.5}",0.02555157953181406,0.0594483514668211,0.07858638688283781,0.08020084304158975,0.05270160590048047,1152503407698.3035,0.1188405987392835,0.15717277376567562,0.3447326482062346,0.6202597097914535,0.6202582165087815
2,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.5}",0.025727132986533188,0.05983799942834578,0.0789629790605493,0.0806757597959807,0.05320248749816035,1049532970308.303,0.11908247317862178,0.1579259581210986,0.3450832844091724,0.6193443540321892,0.6193428571441053
0,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.7}",0.025599694026015925,0.05949780275071162,0.078819728863447,0.08076139526286126,0.05334392354937648,1098655212422.5527,0.11999954953914384,0.157639457726894,0.3464095113289239,0.615980560560502,0.6159790504505942
1,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.7}",0.025528625842029157,0.05936098934473746,0.07859654684658302,0.0801560060443784,0.05273115217733995,1157457816466.3147,0.11892668985030973,0.15719309369316603,0.3448574920895727,0.6199846163988563,0.6199831220344129
2,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 750, 'reg_alpha': 0.7}",0.025710704937418623,0.05979923978856285,0.07900718233689735,0.08066939848765384,0.053123295700054335,1049471294952.7043,0.1193186322242698,0.1580143646737947,0.34542529181325127,0.6185894547453945,0.618587954888749
0,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 1000, 'reg_alpha': 0.5}",0.0253926209214281,0.05905038422431048,0.07822194864766165,0.08020376665983564,0.05308446558536164,1013354782883.815,0.11754648490140678,0.1564438972953233,0.34285052851265485,0.6238307942547989,0.6238293150149838
1,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 1000, 'reg_alpha': 0.5}",0.02533712039170547,0.05907310707401528,0.07798832692716676,0.07966335209936441,0.052461197016276356,1075095326204.1394,0.11644870435732471,0.1559766538543335,0.3412458122194684,0.6279027095439698,0.627901246316468
2,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 1000, 'reg_alpha': 0.5}",0.025518494472165885,0.059427256142887824,0.07835085706447847,0.08013343180397961,0.052918724982624836,984212980386.6495,0.11662175673925688,0.15670171412895695,0.34149927780195505,0.6272102101969754,0.6272087442405392
0,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 1000, 'reg_alpha': 0.7}",0.025382654513660684,0.05907923833353666,0.07820238311155207,0.08025586521015116,0.0530855299738821,1026976171085.7053,0.11762453298590099,0.15640476622310415,0.34296433194415565,0.6235810268034051,0.6235795465814098
1,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 1000, 'reg_alpha': 0.7}",0.025334706161456416,0.05903730275805245,0.07800322065026322,0.07956064993528421,0.052498430827358396,1073308197091.5062,0.11655322835842978,0.15600644130052643,0.3413989284670205,0.6275687161533736,0.6275672516124834
2,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 1000, 'reg_alpha': 0.7}",0.025493819619078584,0.05939167438748531,0.07842002782017257,0.08010208891513693,0.05287042937643447,981860987497.3986,0.11699226515721875,0.15684005564034514,0.3420413208330519,0.6260258535287677,0.6260243829149742
